File,Address,Hop,IP,Average Time
2024-04-25_17.txt,www5.usp.br,15,198.71.45.189,123.89
2024-04-25_17.txt,www5.usp.br,16,170.39.8.47,226.19
2024-04-25_17.txt,www5.usp.br,17,200.219.201.89,205.76
2024-04-25_17.txt,www5.usp.br,18,200.155.72.40,207.25
2024-04-25_17.txt,www5.usp.br,19,177.126.190.36,206.39
2024-04-25_17.txt,www5.usp.br,23,187.16.220.3,232.0
2024-04-25_17.txt,www5.usp.br,24,143.107.249.38,232.54
2024-04-25_23.txt,www.fmprc.gov.cn,1,139.222.0.1,1.87
2024-04-25_23.txt,www.fmprc.gov.cn,2,10.0.0.1,8.2
2024-04-25_23.txt,www.fmprc.gov.cn,3,193.62.92.126,1.71
2024-04-25_23.txt,www.fmprc.gov.cn,4,10.11.2.2,1.75
2024-04-25_23.txt,www.fmprc.gov.cn,5,146.97.130.237,6.15
2024-04-25_23.txt,www.fmprc.gov.cn,6,146.97.35.217,5.77
2024-04-25_23.txt,www.fmprc.gov.cn,7,146.97.33.61,5.47
2024-04-25_23.txt,www.fmprc.gov.cn,8,146.97.35.194,5.61
2024-04-25_23.txt,www.fmprc.gov.cn,9,62.115.175.106,5.74
2024-04-25_23.txt,www.fmprc.gov.cn,10,62.115.138.168,6.85
2024-04-25_23.txt,www.fmprc.gov.cn,11,62.115.120.239,6.33
2024-04-25_23.txt,www.fmprc.gov.cn,12,62.115.161.119,6.55
2024-04-25_23.txt,www.gov.za,1,139.222.0.1,3.3
2024-04-25_23.txt,www.gov.za,2,10.0.0.1,18.45
2024-04-25_23.txt,www.gov.za,3,193.62.92.126,2.97
2024-04-25_23.txt,www.gov.za,4,10.11.2.2,2.81
2024-04-25_23.txt,www.gov.za,5,146.97.130.237,5.78
2024-04-25_23.txt,www.gov.za,6,146.97.35.217,9.06
2024-04-25_23.txt,www.gov.za,7,146.97.33.61,9.68
2024-04-25_23.txt,www.gov.za,8,146.97.35.194,9.6
2024-04-25_23.txt,www.gov.za,10,62.115.136.140,7.63
2024-04-25_23.txt,www.gov.za,11,62.115.120.75,6.18
2024-04-25_23.txt,www.gov.za,15,168.209.1.200,181.81
2024-04-25_23.txt,www.gov.za,16,168.209.129.146,172.84
2024-04-25_23.txt,www.gov.za,17,168.209.90.7,167.28
2024-04-25_23.txt,www.gov.za,18,168.209.131.143,172.85
2024-04-25_23.txt,www.gov.za,19,197.97.72.54,168.99
2024-04-25_23.txt,www.gov.scot,1,139.222.0.1,1.63
2024-04-25_23.txt,www.gov.scot,3,193.62.92.126,0.8
2024-04-25_23.txt,www.gov.scot,4,10.11.2.2,0.96
2024-04-25_23.txt,www.gov.scot,5,146.97.130.237,5.51
2024-04-25_23.txt,www.gov.scot,6,146.97.35.217,5.55
2024-04-25_23.txt,www.gov.scot,7,146.97.35.182,6.59
2024-04-25_23.txt,www.gov.scot,8,99.82.180.146,6.67
2024-04-25_23.txt,www.gov.scot,10,178.236.3.5,7.53
2024-04-25_23.txt,www.gov.scot,12,52.94.35.137,8.43
2024-04-25_23.txt,www.gov.scot,18,143.204.194.2,7.59
2024-04-25_23.txt,www5.usp.br,1,139.222.0.1,1.25
2024-04-25_23.txt,www5.usp.br,2,10.0.0.1,20.68
2024-04-25_23.txt,www5.usp.br,3,193.62.92.126,0.83
2024-04-25_23.txt,www5.usp.br,4,10.11.2.2,1.02
2024-04-25_23.txt,www5.usp.br,5,146.97.130.237,5.89
2024-04-25_23.txt,www5.usp.br,6,146.97.35.217,6.25
2024-04-25_23.txt,www5.usp.br,7,146.97.33.5,8.23
2024-04-25_23.txt,www5.usp.br,8,146.97.33.1,7.91
2024-04-25_23.txt,www5.usp.br,9,62.40.124.197,7.86
2024-04-25_23.txt,www5.usp.br,10,62.40.124.45,91.32
2024-04-25_23.txt,www5.usp.br,11,163.253.1.120,111.23
2024-04-25_23.txt,www5.usp.br,12,163.253.1.135,112.48
2024-04-25_23.txt,www5.usp.br,13,163.253.1.104,111.35
2024-04-25_23.txt,www5.usp.br,14,163.253.2.33,112.35
2024-04-25_23.txt,www5.usp.br,15,198.71.45.189,121.55
2024-04-25_23.txt,www5.usp.br,16,170.39.8.47,225.26
2024-04-25_23.txt,www5.usp.br,17,200.219.201.89,206.7
2024-04-25_23.txt,www5.usp.br,18,200.155.72.40,205.67
2024-04-25_23.txt,www5.usp.br,19,177.126.190.36,205.36
2024-04-25_23.txt,www5.usp.br,23,187.16.220.3,226.95
2024-04-25_23.txt,www5.usp.br,24,143.107.249.38,228.5
2024-04-26_02.txt,www.fmprc.gov.cn,1,139.222.0.1,1.04
2024-04-26_02.txt,www.fmprc.gov.cn,2,10.0.0.1,9.2
2024-04-26_02.txt,www.fmprc.gov.cn,3,193.62.92.126,0.88
2024-04-26_02.txt,www.fmprc.gov.cn,4,10.11.2.2,1.1
2024-04-26_02.txt,www.fmprc.gov.cn,5,146.97.130.237,6.13
